instance_id,box_id,length,width,height
50,1,38.0,27.0,4.4
50,2,34.5,23.3,12.3
50,3,38.0,27.0,4.4
51,0,45.1,36.1,9.9
51,1,45.1,36.1,9.9
51,2,35.2,24.2,13.0
52,0,37.8,13.2,4.4
52,1,37.8,13.2,4.4
52,2,37.8,13.2,4.4
52,3,37.8,13.2,4.4
52,4,37.8,13.2,4.4
52,5,37.8,13.2,4.4
52,6,37.8,13.2,4.4
52,7,37.8,13.2,4.4
52,8,37.8,13.2,4.4
52,9,30.0,21.4,11.6
52,10,30.0,21.4,11.6
52,11,30.0,21.4,11.6
53,0,30.2,26.2,7.2
53,1,29.9,19.6,12.0
53,2,13.7,8.7,4.0
54,0,32.0,30.6,1.7
54,1,38.0,28.0,1.0
54,2,33.2,12.8,11.8
54,3,38.0,28.0,1.0
55,0,37.8,13.2,4.4
55,1,32.0,23.4,12.2
55,2,31.8,23.4,12.2
55,3,37.8,13.2,4.4
55,4,32.0,23.0,12.0
56,0,21.0,13.5,4.8
56,1,33.6,20.6,11.4
57,0,28.0,24.0,5.2
57,1,33.2,20.8,11.4
57,2,33.2,20.8,11.4
58,0,10.1,6.5,4.0
58,1,23.8,18.0,9.0
59,0,34.0,28.0,2.8
59,1,33.2,20.8,15.2
59,2,35.5,27.5,2.8
60,0,46.6,43.3,4.3
60,1,24.2,18.2,9.8
60,2,23.6,16.4,9.2
60,3,55.0,46.5,6.9
61,0,24.1,22.1,8.888
61,1,35.4,26.8,2.0
61,2,30.4,19.4,10.6
62,0,30.0,21.0,0.5
62,1,25.0,19.0,9.5
63,0,28.5,22.0,0.8
63,1,41.0,33.0,1.0
63,2,38.0,30.0,1.0
64,0,36.6,23.2,4.6
64,1,34.4,20.4,12.6
64,2,36.6,23.2,4.6
64,3,36.6,23.2,4.6
64,4,36.6,23.2,4.6
65,0,27.0,22.5,2.0
65,1,32.8,20.6,14.9
65,2,32.8,20.6,14.9
66,0,38.0,29.4,2.5
66,1,33.5,21.1,11.6
66,2,33.5,21.1,11.6
66,3,33.5,21.1,11.6
67,0,28.5,26.5,8.8
67,1,31.8,22.8,12.0
67,2,22.5,13.5,3.5
68,0,26.0,26.0,1.2
68,1,33.0,24.0,1.8
68,2,10.1,6.9,4.7
68,3,11.7,9.1,3.4
68,4,27.0,23.0,6.3
68,5,26.5,24.0,4.2
68,6,30.0,21.0,0.5
69,0,50.3,42.0,7.0
69,1,10.5,7.1,4.5
69,2,35.0,23.0,12.0
70,0,30.0,21.0,0.5
70,1,27.8,21.8,10.6
71,0,27.0,18.4,1.0
71,1,32.5,18.8,13.0
71,2,27.0,18.2,1.0
71,3,39.0,29.5,1.2
71,4,39.0,29.5,1.2
72,0,50.0,39.0,4.0
72,1,33.6,20.6,11.4
72,2,34.4,23.2,12.2
73,0,36.0,29.0,2.5
73,1,34.4,23.6,12.4
74,0,57.2,39.1,8.6
74,1,34.0,24.0,6.0
75,0,31.0,26.0,2.7
75,1,36.0,25.4,12.8
76,0,30.0,25.0,1.0
76,1,36.0,29.0,1.0
76,2,30.0,25.0,1.0
76,3,30.0,25.0,1.0
76,4,30.8,19.8,11.4
77,0,50.0,39.0,4.0
77,1,33.2,21.0,11.4
78,0,26.0,13.0,0.5
78,1,33.8,13.8,12.8
78,2,33.2,12.8,11.8
79,0,29.0,19.6,5.0
79,1,26.5,21.0,10.0
80,0,50.0,39.0,4.0
80,1,34.4,23.2,12.2
80,2,34.7,23.4,12.1
81,0,35.0,24.0,2.5
81,1,35.0,23.0,12.0
82,0,30.0,21.0,0.5
82,1,31.0,21.6,11.4
82,2,31.0,21.6,11.4
82,3,31.0,21.6,11.4
82,4,31.0,21.6,11.4
82,5,31.0,21.6,11.4
83,0,27.0,22.5,2.0
83,1,34.1,24.2,12.3
84,0,50.0,39.0,4.0
84,1,50.0,39.0,4.0
84,2,30.5,21.0,11.5
85,0,30.0,26.0,4.9
85,1,33.3,20.7,11.3
86,0,40.0,29.0,1.0
86,1,33.4,20.2,11.4
87,0,37.8,13.2,4.4
87,1,37.8,13.2,4.4
87,2,30.0,21.4,11.6
87,3,37.8,13.2,4.4
87,4,37.8,13.2,4.4
87,5,37.8,13.2,4.4
87,6,37.8,13.2,4.4
87,7,37.8,13.2,4.4
87,8,37.8,13.2,4.4
87,9,37.8,13.2,4.4
88,0,28.0,20.0,2.0
88,1,27.0,24.0,3.2
88,2,28.6,25.0,3.0
88,3,27.0,24.0,3.2
88,4,31.5,24.0,1.2
88,5,10.8,7.6,4.0
88,6,30.0,20.0,2.1
88,7,33.2,12.8,11.8
89,0,51.3,17.2,11.8
89,1,29.7,22.1,12.0
89,2,51.3,17.2,11.8
90,0,35.0,31.0,7.9
90,1,30.4,18.2,11.4
91,0,41.5,15.0,2.0
91,1,33.5,21.1,11.6
91,2,33.5,21.1,11.6
91,3,33.5,21.1,11.6
91,4,33.5,21.1,11.6
91,5,33.5,21.1,11.6
92,0,25.9,25.1,4.0
92,1,32.0,26.0,1.5
92,2,39.0,27.5,3.1
92,3,33.2,12.8,11.8
92,4,31.0,25.5,1.3
92,5,35.6,15.2,13.2
93,0,19.8,13.5,0.8
93,1,32.4,16.4,13.2
94,0,35.5,24.0,1.2
94,1,23.0,13.0,4.0
95,0,37.0,29.0,1.0
95,1,32.5,18.2,12.1
95,2,32.5,18.2,12.1
95,3,37.0,29.0,1.0
95,4,32.5,18.2,12.1
96,0,38.0,27.0,4.4
96,1,37.5,27.5,3.8
96,2,37.2,27.0,4.0
96,3,37.5,27.5,3.8
96,4,37.2,27.0,4.0
96,5,33.4,21.0,11.4
97,0,33.5,27.2,2.0
97,1,32.2,31.3,2.0
97,2,28.0,24.9,7.6
97,3,24.6,19.0,9.6
97,4,28.0,25.1,2.0
98,0,41.5,15.0,2.0
98,1,33.5,21.1,11.6
98,2,33.5,21.1,11.6
98,3,33.5,21.1,11.6
98,4,33.5,21.1,11.6
98,5,33.5,21.1,11.6
99,0,25.0,25.0,8.0
99,1,25.0,25.0,8.0
99,2,34.0,21.0,12.0
100,0,36.6,23.2,4.6
100,1,26.4,20.4,10.0
100,2,36.6,23.2,4.6
100,3,36.6,23.2,4.6
101,0,10.5,7.0,3.3
101,1,40.0,30.0,1.0
101,2,33.2,12.8,11.8
102,0,40.4,35.6,5.0
102,1,30.2,20.7,11.4
102,2,26.8,15.6,6.6
103,0,13.0,10.4,3.8
103,1,30.2,20.8,11.2
104,0,30.0,23.0,1.3
104,1,19.6,13.4,8.0
105,0,33.0,24.0,1.3
105,1,9.4,5.8,4.6
106,0,13.0,10.4,3.8
106,1,34.4,23.2,12.2
106,2,13.0,10.4,3.8
107,0,36.0,24.0,0.9
107,1,33.2,21.0,11.4
108,0,39.5,30.0,1.0
108,1,34.6,24.0,12.0
108,2,33.6,20.6,11.4
109,0,22.5,10.0,7.0
109,1,37.0,28.0,2.4
109,2,34.6,24.8,12.6
110,0,39.6,29.2,2.2
110,1,36.1,23.8,12.6
111,0,38.0,29.5,0.9
111,1,33.6,20.6,11.4
111,2,39.0,28.0,1.4
111,3,26.0,13.0,0.5
111,4,38.0,24.0,2.0
112,0,34.0,24.0,1.3
112,1,34.2,22.0,3.2
112,2,35.0,27.0,1.1
112,3,25.4,18.8,9.8
112,4,26.4,20.4,10.0
113,0,27.0,26.0,5.0
113,1,34.7,23.4,12.1
114,0,32.0,30.0,8.0
114,1,30.8,22.2,11.4
115,0,37.8,13.2,4.4
115,1,37.8,13.2,4.4
115,2,37.8,13.2,4.4
115,3,37.8,13.2,4.4
115,4,30.0,21.4,11.6
115,5,37.8,13.2,4.4
115,6,30.0,21.4,11.6
115,7,37.8,13.2,4.4
115,8,30.0,21.4,11.6
115,9,37.8,13.2,4.4
115,10,37.8,13.2,4.4
115,11,37.8,13.2,4.4
116,0,38.0,28.0,1.0
116,1,34.6,22.9,11.6
116,2,29.0,25.0,1.5
116,3,39.5,34.0,0.6
116,4,35.7,27.2,1.4
117,0,27.0,23.0,5.0
117,1,33.1,20.8,9.4
117,2,33.1,20.8,9.4
117,3,33.1,20.8,9.4
118,0,50.0,39.0,4.0
118,1,33.4,21.0,11.4
119,0,13.0,10.4,3.8
119,1,31.0,21.6,11.4
120,0,18.9,12.5,3.4
120,1,27.6,22.7,12.0
121,0,16.0,11.0,2.0
121,1,34.7,23.4,12.1
122,0,28.0,24.0,5.2
122,1,29.8,22.0,10.0
122,2,37.0,29.0,3.8
122,3,32.1,21.6,15.9
122,4,36.0,34.0,2.2
123,0,30.0,23.5,5.0
123,1,33.4,21.0,11.4
123,2,38.0,30.0,1.1
123,3,39.0,28.0,1.6
124,0,28.0,19.0,4.5
124,1,33.51,21.1,11.57
125,0,39.0,29.0,1.0
125,1,34.8,21.2,12.0
126,0,38.0,30.0,1.1
126,1,34.4,23.6,12.1
126,2,34.0,26.3,2.0
127,0,37.5,29.6,2.3
127,1,36.1,23.8,12.6
128,0,50.0,39.0,4.0
128,1,30.5,21.0,11.5
128,2,50.0,39.0,4.0
129,0,13.0,10.4,3.8
129,1,13.0,10.4,3.8
129,2,13.0,10.4,3.8
129,3,30.3,22.3,12.0
130,0,21.0,13.0,1.6
130,1,34.4,23.2,12.2
130,2,32.4,23.4,7.16
131,0,38.0,31.0,1.4
131,1,38.0,31.0,1.4
131,2,32.8,20.6,14.9
132,0,27.0,12.5,1.0
132,1,35.2,24.2,13.0
132,2,35.2,24.2,13.0
133,0,19.0,12.0,6.0
133,1,19.6,13.4,8.0
133,2,29.0,21.0,2.0
133,3,31.0,21.0,1.0
133,4,22.0,15.2,4.4
133,5,10.6,6.1,6.4
134,0,37.5,29.6,2.3
134,1,32.5,20.9,14.0
134,2,33.4,21.0,11.4
135,0,27.5,19.6,8.55
135,1,35.7,26.1,13.4
136,0,34.2,31.4,2.0
136,1,33.2,12.8,11.8
136,2,52.4,43.8,4.3
137,0,46.7,43.6,5.7
137,1,26.0,13.0,0.5
138,0,29.2,15.0,1.2
138,1,30.0,20.6,10.4
139,0,31.0,24.0,1.4
139,1,31.0,24.0,1.4
139,2,36.0,26.5,13.0
140,0,35.7,27.2,1.4
140,1,35.7,27.2,1.4
140,2,23.0,18.0,1.2
140,3,35.7,27.2,1.4
140,4,35.7,27.2,1.4
140,5,35.7,27.2,1.4
140,6,35.7,27.2,1.4
140,7,35.7,27.2,1.4
140,8,35.7,27.2,1.4
141,0,33.4,21.0,11.4
141,1,37.5,29.6,2.3
141,2,37.5,29.6,2.3
142,0,30.0,20.5,4.5
142,1,22.5,13.5,3.5
142,2,27.0,23.0,6.3
142,3,27.6,21.8,10.4
143,0,31.0,26.0,6.0
143,1,39.0,32.0,1.5
143,2,38.0,30.0,1.0
143,3,35.0,27.0,2.0
143,4,35.0,27.0,2.0
143,5,29.0,25.0,2.0
143,6,35.9,24.7,12.0
143,7,26.0,13.3,6.0
144,0,28.9,25.2,8.0
144,1,27.0,24.0,3.2
144,2,33.8,13.8,12.8
145,0,34.2,22.0,3.2
145,1,25.4,19.4,9.4
146,0,34.2,22.0,3.2
146,1,26.3,21.2,12.0
146,2,26.1,20.9,12.0
147,0,50.0,39.0,4.0
147,1,33.4,21.0,11.4
147,2,34.3,23.2,11.8
148,0,34.5,23.3,12.3
148,1,38.0,24.0,2.0
149,0,50.0,39.0,4.0
149,1,33.2,21.0,11.4
150,0,21.2,20.0,8.0
150,1,31.8,23.0,12.0
151,0,51.0,28.0,4.4
151,1,33.8,21.4,11.4
151,2,33.8,21.4,11.4
152,0,35.0,27.0,2.3
152,1,34.0,24.1,12.0
153,0,50.0,39.0,4.0
153,1,33.6,20.6,11.4
153,2,33.6,20.6,11.4
154,0,38.0,29.0,1.0
154,1,34.4,21.8,12.2
154,2,30.0,21.0,10.0
154,3,52.2,43.2,7.4
155,0,26.2,17.6,3.0
155,1,30.0,32.0,4.5
155,2,34.6,24.2,12.0
155,3,30.2,23.5,5.2
156,0,26.0,13.0,0.5
156,1,27.8,21.0,4.0
156,2,31.8,23.0,12.0
156,3,37.0,26.0,1.5
156,4,30.0,21.0,10.0
156,5,27.8,24.3,4.0
156,6,37.0,26.0,1.5
157,0,39.0,33.5,1.4
157,1,34.4,23.4,12.1
158,0,22.5,10.0,7.0
158,1,34.7,23.4,12.1
158,2,24.2,11.6,8.4
159,0,36.2,27.7,4.0
159,1,33.6,20.6,11.4
159,2,33.6,24.1,12.0
160,0,37.0,27.0,4.1
160,1,32.9,20.5,14.4
161,0,11.7,6.6,2.7
161,1,33.5,21.1,11.6
161,2,38.0,30.0,0.88
161,3,33.5,21.1,11.6
161,4,33.5,21.1,11.6
162,0,40.0,29.0,1.0
162,1,33.5,21.1,11.6
162,2,33.5,21.1,11.6
162,3,33.5,21.1,11.6
163,0,54.2,38.9,7.1
163,1,32.8,17.5,12.0
164,0,31.4,22.2,11.8
164,1,24.8,10.8,3.6
164,2,24.8,10.8,3.6
164,3,31.4,22.2,11.8
165,0,33.0,26.0,2.0
165,1,35.0,29.0,1.0
165,2,30.0,24.0,1.1
165,3,38.0,35.2,2.2
165,4,10.3,8.9,3.6
166,0,27.5,22.0,5.5
166,1,33.6,21.2,11.2
166,2,33.0,20.5,14.1
166,3,33.6,21.2,11.2
166,4,33.6,21.2,11.2
167,0,38.0,28.0,1.0
167,1,34.8,23.8,12.6
167,2,33.0,21.4,12.0
167,3,29.7,22.7,12.0
167,4,34.8,23.8,12.6
167,5,33.9,29.5,4.0
168,0,38.0,29.5,1.2
168,1,34.5,29.1,2.0
168,2,37.5,29.0,1.2
168,3,33.5,21.6,12.0
168,4,37.5,29.0,1.2
169,0,49.0,38.0,2.5
169,1,30.0,21.4,11.6
170,0,27.0,12.5,1.0
170,1,27.0,12.5,1.0
170,2,33.6,21.4,11.6
171,0,34.1,26.1,2.0
171,1,30.1,26.9,4.0
171,2,33.8,24.1,12.0
172,0,35.6,32.322,8.555
172,1,33.5,20.8,11.7
172,2,33.6,21.4,11.6
173,0,41.5,15.0,2.0
173,1,41.5,15.0,2.0
173,2,33.7,23.0,14.6
173,3,33.7,23.0,14.6
174,0,30.0,25.0,2.3
174,1,11.0,10.2,4.0
174,2,12.1,7.5,3.4
174,3,30.4,21.5,11.5
175,0,29.0,26.0,10.0
175,1,34.6,22.5,15.0
176,0,11.2,8.3,5.5
176,1,11.2,8.3,5.5
176,2,33.2,21.0,11.4
177,0,54.5,41.0,5.5
177,1,30.0,20.6,10.4
178,0,27.6,23.3,4.0
178,1,33.1,30.6,2.0
178,2,31.5,24.0,1.2
178,3,32.5,26.0,1.2
178,4,28.6,25.0,3.0
178,5,33.2,12.8,11.8
179,0,37.2,27.0,4.0
179,1,34.4,20.4,12.6
179,2,37.5,27.5,3.8
179,3,31.1,20.8,14.6
180,0,41.5,15.0,2.0
180,1,34.4,20.4,12.6
180,2,34.4,20.4,12.6
180,3,34.4,20.4,12.6
181,0,30.1,21.9,12.0
181,1,17.8,8.9,4.0
181,2,17.8,8.9,4.0
181,3,17.8,8.9,4.0
182,0,33.2,12.8,11.8
182,1,51.0,28.0,4.4
183,0,48.8,16.6,11.9
183,1,34.1,23.0,11.8
183,2,48.8,16.6,11.9
183,3,48.8,16.6,11.9
184,0,29.0,26.0,1.5
184,1,34.2,20.8,12.2
185,0,41.5,15.0,2.0
185,1,36.0,23.5,12.3
185,2,36.0,23.5,12.3
185,3,36.0,23.5,12.3
186,0,29.2,24.6,2.0
186,1,9.4,6.6,6.2
186,2,21.8,16.2,9.0
186,3,30.0,23.5,3.2
187,0,34.2,22.0,3.2
187,1,49.0,38.0,3.7
187,2,45.1,36.1,9.9
187,3,49.0,38.0,3.7
187,4,45.1,36.1,9.9
188,0,13.0,10.4,3.8
188,1,13.0,10.4,3.8
188,2,30.2,21.3,11.3
188,3,13.0,10.4,3.8
189,0,49.0,40.0,5.9
189,1,33.4,20.8,11.2
189,2,33.4,20.8,11.2
190,0,37.8,13.2,4.4
190,1,37.8,13.2,4.4
190,2,37.8,13.2,4.4
190,3,37.8,13.2,4.4
190,4,37.8,13.2,4.4
190,5,37.8,13.2,4.4
190,6,37.8,13.2,4.4
190,7,37.8,13.2,4.4
190,8,37.8,13.2,4.4
190,9,30.0,21.4,11.6
190,10,30.0,21.4,11.6
190,11,30.0,21.4,11.6
191,0,50.0,39.0,4.0
191,1,41.5,15.0,2.0
191,2,33.0,23.1,14.9
192,0,31.0,21.0,1.5
192,1,30.4,21.8,12.0
193,0,52.6,39.7,5.1
193,1,30.5,18.4,12.0
193,2,30.0,19.2,10.5
194,0,39.0,30.0,1.4
194,1,35.0,24.6,12.0
195,0,50.0,39.0,4.0
195,1,34.4,23.2,12.2
196,0,38.0,28.0,3.0
196,1,38.0,28.0,3.0
196,2,35.0,23.0,12.0
197,0,24.0,20.6,8.2
197,1,33.2,20.8,11.2
197,2,33.2,20.8,11.2
197,3,33.2,20.8,11.2
197,4,33.2,20.8,11.2
198,0,37.8,13.2,4.4
198,1,30.0,21.4,11.6
198,2,30.0,21.4,11.6
198,3,37.8,13.2,4.4
198,4,30.0,21.4,11.6
199,0,37.0,29.0,1.0
199,1,33.5,21.1,11.6
199,2,37.0,29.0,1.0
199,3,33.5,21.1,11.6
199,4,33.5,21.1,11.6
200,0,37.8,13.2,4.4
200,1,37.8,13.2,4.4
200,2,37.8,13.2,4.4
200,3,37.8,13.2,4.4
200,4,37.8,13.2,4.4
200,5,37.8,13.2,4.4
200,6,37.8,13.2,4.4
200,7,37.8,13.2,4.4
200,8,37.8,13.2,4.4
200,9,30.0,21.4,11.6
200,10,30.0,21.4,11.6
200,11,30.0,21.4,11.6
201,0,13.0,10.4,3.8
201,1,13.0,10.4,3.8
201,2,36.8,24.8,13.8
202,0,27.0,24.4,18.9
202,1,34.6,24.2,12.0
203,0,35.5,28.5,2.8
203,1,32.5,18.2,12.1
203,2,32.5,18.2,12.1
203,3,32.5,18.2,12.1
204,0,30.0,20.0,2.1
204,1,33.2,12.8,11.8
204,2,19.7,19.7,3.0
204,3,30.0,20.0,2.1
205,0,31.5,26.8,9.3
205,1,34.0,21.0,13.4
206,0,37.5,27.5,3.8
206,1,37.2,27.0,4.0
206,2,33.4,21.0,11.4
206,3,37.2,27.0,4.0
206,4,37.5,27.5,3.8
206,5,37.2,27.0,4.0
207,0,35.7,27.2,1.4
207,1,34.0,27.0,1.3
207,2,35.0,27.5,1.2
207,3,35.5,27.0,1.3
207,4,34.4,20.4,12.6
208,0,56.8,42.9,5.2
208,1,36.0,23.3,12.3
209,0,35.0,27.5,1.2
209,1,33.3,20.5,11.1
210,0,14.5,11.6,3.2
210,1,22.5,16.0,9.0
210,2,39.0,29.0,1.3
210,3,38.0,26.5,2.0
210,4,38.0,29.0,1.1
211,0,35.5,27.5,2.8
211,1,33.7,23.0,14.6
211,2,33.7,23.0,14.6
212,0,13.5,10.3,3.211
212,1,21.8,16.2,9.0
213,0,30.0,27.0,1.0
213,1,30.2,18.3,13.2
213,2,29.8,19.1,10.2
214,0,28.0,24.0,4.0
214,1,27.6,21.4,10.6
214,2,11.4,9.2,4.0
214,3,24.7,16.2,4.0
215,0,38.0,29.0,1.5
215,1,34.5,21.0,12.0
215,2,38.0,29.0,1.5
216,0,14.0,8.6,4.4
216,1,32.3,14.4,5.0
216,2,30.0,15.0,0.1
217,0,38.0,28.0,3.6
217,1,33.6,21.4,11.6
217,2,33.6,21.4,11.6
218,0,39.0,33.5,1.4
218,1,35.0,23.2,12.0
218,2,35.0,23.2,12.0
219,0,23.0,22.0,8.0
219,1,22.5,10.0,7.0
219,2,31.0,25.5,14.3
219,3,28.0,26.0,8.0
219,4,35.8,23.6,13.0
219,5,41.0,25.2,14.0
220,0,29.0,19.5,5.8
220,1,30.0,21.4,11.6
221,0,29.0,25.0,2.0
221,1,35.0,27.0,2.0
221,2,34.6,22.6,14.6
222,0,25.9,22.5,19.6
222,1,30.4,21.2,10.4
222,2,28.0,24.0,5.2
223,0,29.561,7.2,3.911
223,1,30.0,25.0,1.2
223,2,26.0,13.0,0.5
223,3,25.0,22.0,0.5
223,4,24.5,21.5,1.0
224,0,35.5,30.0,2.7
224,1,29.8,19.2,10.8
225,0,37.5,29.6,2.3
225,1,34.4,23.2,12.2
226,0,36.0,29.0,3.7
226,1,29.3,21.9,12.0
227,0,28.0,18.0,2.5
227,1,31.0,21.6,11.4
228,0,41.5,15.0,2.0
228,1,35.6,23.4,12.2
229,0,37.8,13.2,4.4
229,1,32.0,23.4,12.2
229,2,32.0,23.0,12.0
229,3,37.8,13.2,4.4
229,4,37.8,13.2,4.4
229,5,36.6,23.2,4.6
230,0,34.0,29.0,2.6
230,1,33.4,20.2,11.4
231,0,50.0,39.0,4.0
231,1,29.5,22.2,12.0
232,0,34.0,28.0,2.8
232,1,34.0,28.0,2.8
232,2,34.0,28.0,2.8
232,3,34.0,28.0,2.8
232,4,35.4,24.2,13.0
232,5,34.0,28.0,2.8
233,0,41.5,15.0,2.0
233,1,34.1,20.1,14.9
234,0,49.0,40.0,5.9
234,1,34.0,21.0,12.0
235,0,29.0,27.0,7.8
235,1,33.4,20.8,11.4
235,2,29.0,27.0,7.8
235,3,33.4,20.8,11.4
236,0,29.5,22.2,12.0
236,1,13.0,10.4,3.8
236,2,13.0,10.4,3.8
236,3,13.0,10.4,3.8
237,0,29.0,20.0,9.5
237,1,30.4,21.2,10.4
237,2,29.0,20.0,9.5
237,3,29.0,20.0,9.5
237,4,29.0,20.0,9.5
238,0,28.9,21.2,4.0
238,1,23.0,22.0,8.0
238,2,23.0,22.0,8.0
238,3,35.2,24.2,13.0
239,0,25.0,15.0,1.0
239,1,32.9,12.0,13.6
239,2,33.2,12.8,11.8
240,0,46.9,42.9,8.6
240,1,34.7,23.4,12.1
241,0,26.0,23.0,1.4
